Competitor,Product_Name,Price,Width_cm,Height_cm,Area_cm2,Price_per_Volume,Thickness_cm,product_category,Size_Info,Option1,Option2,Option3
아기,아기 폴더매트 100x300,136900.0,100,300,30000,45633.333333333336,0,폴더매트,100x300,02. 제로갭 매트,12. 항균 3단 100×300,02. 퓨어크림
아기,아기 폴더매트 100x300,136900.0,100,300,30000,45633.333333333336,0,폴더매트,100x300,02. 제로갭 매트,12. 항균 3단 100×300,03. 퓨어라이트그레이
아기,아기 폴더매트 100x300,136900.0,100,300,30000,45633.333333333336,0,폴더매트,100x300,02. 제로갭 매트,12. 항균 3단 100×300,04. 퓨어그레이
아기,아기 폴더매트 120x300,142900.0,120,300,36000,39694.444444444445,0,폴더매트,120x300,02. 제로갭 매트,13. 항균 3단 120×300,01. 퓨어라이트크림
아기,아기 폴더매트 120x300,142900.0,120,300,36000,39694.444444444445,0,폴더매트,120x300,02. 제로갭 매트,13. 항균 3단 120×300,02. 퓨어크림
아기,아기 폴더매트 120x300,142900.0,120,300,36000,39694.444444444445,0,폴더매트,120x300,02. 제로갭 매트,13. 항균 3단 120×300,03. 퓨어라이트그레이
아기,아기 폴더매트 120x300,142900.0,120,300,36000,39694.444444444445,0,폴더매트,120x300,02. 제로갭 매트,13. 항균 3단 120×300,04. 퓨어그레이
아기,아기 폴더매트 140x300,152900.0,140,300,42000,36404.7619047619,0,폴더매트,140x300,02. 제로갭 매트,14. 항균 3단 140×300,01. 퓨어라이트크림
아기,아기 폴더매트 140x300,152900.0,140,300,42000,36404.7619047619,0,폴더매트,140x300,02. 제로갭 매트,14. 항균 3단 140×300,02. 퓨어크림
아기,아기 폴더매트 140x300,152900.0,140,300,42000,36404.7619047619,0,폴더매트,140x300,02. 제로갭 매트,14. 항균 3단 140×300,03. 퓨어라이트그레이
아기,아기 폴더매트 140x300,152900.0,140,300,42000,36404.7619047619,0,폴더매트,140x300,02. 제로갭 매트,14. 항균 3단 140×300,04. 퓨어그레이
