평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"4","jumd*******","2025-05-10","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","줄자로 잘 재서 재단 주문했더니 딱~ 잘맞게 깔았어요. 화이트라 집이랑 잘 어울려서 넘 이뻐요. 울애기들 우다다 해도, 비숑타임와도 미끄럽지 않아 잘 노니 돈들여 깔아놓은 맛이 납니다.다만 찍힘은 어쩔 수 없네요.그거 감안하더라도 맘에 듭니다.","https://phinf.pstatic.net/checkout.phinf/20250510_274/1746874611347sxFnu_JPEG/1746874481882.jpg?type=f300_300"
"5","sv****","2025-05-10","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/15mm(리뉴얼)","푸신한게 좋네요~~~^","https://phinf.pstatic.net/checkout.phinf/20250510_97/1746873695695yYjuE_JPEG/1000047638.jpg?type=f300_300"
"5","rkek***","2025-05-10","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","4년전쯤 사서 잘쓰고있어서이사할때 또샀어요","https://phinf.pstatic.net/checkout.phinf/20250510_113/1746866467283IaOzW_JPEG/image.jpg?type=f300_300"
"4","ec****","2025-05-10","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/15mm(리뉴얼)","써보고 만족해서 ...재구매입니다.. 짧은기간 가격이 많이 올라 고민했었네요.","https://phinf.pstatic.net/checkout.phinf/20250510_31/1746829678535Nw44v_JPEG/1000006475.jpg?type=f300_300"
"5","gd****","2025-05-09","폭/길이: 110cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","아주 만족도가 좋은제품입니다","https://phinf.pstatic.net/checkout.phinf/20250509_9/1746766609522NiieS_JPEG/1746766597540.jpg?type=f300_300"
"4","yu****","2025-05-09","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","깔끔하고 쿠션이 좋아요","이미지 없음"
"5","lero****","2025-05-06","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","도톰하니 미끄럽지않고 좋아요.","이미지 없음"
"5","mjli****","2025-05-05","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","4년전에 사서 잘쓰다가 이사하면서 새로 구입. 믿고 재구매하는 매트입니다~!","https://phinf.pstatic.net/checkout.phinf/20250505_166/1746405596211eFvnH_JPEG/1746405570475.jpg?type=f300_300"
"5","jjhm*****","2025-05-02","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/15mm(리뉴얼)","단단하고 너무 좋아요. 덕분에 강아지 다리가 아프지 않겠어요 감사합니다","https://phinf.pstatic.net/checkout.phinf/20250502_160/1746142831575Rh8UE_JPEG/image.jpg?type=f300_300"
"5","jjhm*****","2025-05-02","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/15mm(리뉴얼)","강아지 다리가 아플까봐 샀어요, 덕분에 저희 층간소음도 줄였네요 감사합니다.","https://phinf.pstatic.net/checkout.phinf/20250502_259/1746142792649ej9GR_JPEG/image.jpg?type=f300_300"
