평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"4","heli****","2025-07-09","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭125cm) / 길이(수량추가): 50cm","좋아여. 방수. 미꾸럼방지 짱","이미지 없음"
"4","heli****","2025-07-09","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","장점. 방수. 미끄럼방지
단점 다이슨청소기 쓰는데 너무 붙어서 청소기 이동이 안돼요. 그냥 부직포밀대. 걸레밀대가 답인듯. 물티슈 사용 후 물기 마르기 오래 걸림.  그러나 간암 말기 노견 무차별 방뇨의 공포는 해결됨","이미지 없음"
"5","thor***","2025-07-08","디자인 선택: 마블아이보리 / 두께(폭): 9mm(폭110cm) / 길이(수량추가): 50cm","표면이 약간 끈적한 느낌이네요 미끄러지지말라고 그런건지","https://phinf.pstatic.net/checkout.phinf/20250708_98/1751981909327zLNL4_JPEG/20250708_220345.jpg?type=f300_300"
"5","ss****","2025-07-08","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","강아지 관절 생각해서 주방, 거실 전체 깔았어요 
그전엔 미끄러진적이 많았는데 이제 잘 걸어다니네요!","https://phinf.pstatic.net/checkout.phinf/20250708_273/1751938669572kMBUu_JPEG/image.jpg?type=f300_300"
"5","sk****","2025-07-08","디자인 선택: 소프트그레이 / 두께(폭): 9mm(폭140cm) / 길이(수량추가): 50cm","빠르고 품질 좋아요","이미지 없음"
"5","sk****","2025-07-08","디자인 선택: 소프트그레이 / 두께(폭): 9mm(폭125cm) / 길이(수량추가): 50cm","배송 빠르고
품질 좋아요","이미지 없음"
"5","hs****","2025-07-07","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭125cm) / 길이(수량추가): 50cm","너무 좋아요 강아지가 미끄러지지 않아요","https://phinf.pstatic.net/checkout.phinf/20250707_291/1751884614426yMSQz_JPEG/IMG_1274.jpeg?type=f300_300"
"3","ghk3***","2025-07-05","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","내구성은 좋아요 쉽게 더러워지지도 않아요","https://phinf.pstatic.net/checkout.phinf/20250705_249/1751718011222Abnhi_JPEG/IMG_0263.jpeg?type=f300_300"
"5","park********","2025-07-04","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭125cm) / 길이(수량추가): 50cm","와 이거 잇템이요...!! 저희 4개월된 말티푸 강아지가 미끄러지지도 않고 엄청 잘뛰어놀고!! 완전 맘에 들어한답니다!! 집에 3분의 2로 도배했어요 혹시나 하는 마음에 나머지 부분을 안했는데.. 재구매해서 더 채워줘야겠어요! 한 곳이랑 안한곳이 엄청 차이가 심해서...ㅠㅠ 무조건해야해요 ... 진짜 너무 튼튼하고 무게감있는 이유를 알겠더라구요!!! 흔들거림없이 좋은데..집에 맞춰서 어쩔수업이 부분적으로 재단해서 해야한다는게..ㅠㅠ근데 이건 어쩔수없어요.. 그럼에도 불구하고 다시 재구매해서 해줘야 마음에 평화가 생길것같아요!! ㅠㅠ안그럼 쓸개골이 다 나가버릴 것 만 같은 느낌이 들어서..ㅠㅠ흑흑!! 다들 적극추천하니 다른곳보다 저렴하고 신경써서 해주니 완전 !! 짱입니다 감사합니다 ㅎㅎ","이미지 없음"
"5","pte3***","2025-07-01","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭140cm) / 길이(수량추가): 50cm","매트 품질은 만족하고 잘 쓰다가 카페트로 바뀠어요 재단도 쉽고 바닥면 미크럼 없이 만족합니다","https://phinf.pstatic.net/checkout.phinf/20250622_48/1750552036080snVib_JPEG/1750552019611.jpg?type=f300_300"
"5","pink******","2025-07-01","디자인 선택: 마블아이보리 / 두께(폭): 9mm(폭125cm) / 길이(수량추가): 50cm","예전에 주문해서 사용해보고 재주문이에요 역시좋아요 
배송도 엄청빠르네요 애기들한테 필수에요 강추","https://phinf.pstatic.net/checkout.phinf/20250701_42/1751354046457zLjIJ_JPEG/IMG_4608.jpeg?type=f300_300"
"5","chej*****","2025-06-30","디자인 선택: 마블아이보리 / 두께(폭): 9mm(폭140cm) / 길이(수량추가): 50cm","자주 주문했습니다 좋아요","https://phinf.pstatic.net/checkout.phinf/20250630_120/1751252302809qnOrY_JPEG/7CF17E618F3B_20241217155619426.jpeg?type=f300_300"
"5","wlal*******","2025-06-30","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","강쥐 첨 데려왔을 때부터 사용했는데 이사 오고 나서도 타 브랜드 제품 구매했다가 후회하고 따사룸 제품으로 추가 구매했어요 푹신하고 튼튼하고 좋습니다ㅎㅎ","https://phinf.pstatic.net/checkout.phinf/20250630_74/1751243699379NJwkv_JPEG/IMG_8258.jpeg?type=f300_300"
